sequence,target,seg_id,speaker_id,dataset,speech_register
"[4, 4, 3, 1, 1, 4, 4, 4, 5, 3]",5,B-18_10_pass1_240_20,B-18,IDSLabel-norm,IDS
"[4, 3, 1, 1, 4, 4, 4, 5, 3, 5]",4,B-18_10_pass1_240_20,B-18,IDSLabel-norm,IDS
"[1, 4, 2, 6, 3, 2, 6, 3, 4, 4]",4,B-18_10_pass1_240_36,B-18,IDSLabel-norm,IDS
"[1, 3, 1, 5, 2, 5, 1, 4, 4, 4]",3,B-18_10_pass1_280_14,B-18,IDSLabel-norm,IDS
"[1, 1, 1, 3, 4, 4, 5, 4, 3, 1]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[1, 1, 3, 4, 4, 5, 4, 3, 1, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[1, 3, 4, 4, 5, 4, 3, 1, 4, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[3, 4, 4, 5, 4, 3, 1, 4, 4, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[4, 4, 5, 4, 3, 1, 4, 4, 4, 4]",1,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[4, 5, 4, 3, 1, 4, 4, 4, 4, 1]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[5, 4, 3, 1, 4, 4, 4, 4, 1, 4]",1,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[4, 3, 1, 4, 4, 4, 4, 1, 4, 1]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[3, 1, 4, 4, 4, 4, 1, 4, 1, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 1, 4, 1, 4, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 1, 4, 4, 4]",4,B-18_10_pass1_280_58,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 3, 5, 3, 1, 4]",4,B-18_10_pass1_280_75,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 3, 5, 3, 1, 4, 4]",1,B-18_10_pass1_280_75,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 3, 5, 3, 1, 4, 4, 1]",5,B-18_10_pass1_280_75,B-18,IDSLabel-norm,IDS
"[4, 1, 3, 5, 3, 1, 4, 4, 1, 5]",1,B-18_10_pass1_280_75,B-18,IDSLabel-norm,IDS
"[1, 3, 5, 3, 1, 4, 4, 1, 5, 1]",4,B-18_10_pass1_280_75,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 1, 3, 4, 5, 1]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 3, 4, 5, 1, 4]",3,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 3, 4, 5, 1, 4, 3]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 3, 4, 5, 1, 4, 3, 4]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[1, 1, 3, 4, 5, 1, 4, 3, 4, 4]",3,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[1, 3, 4, 5, 1, 4, 3, 4, 4, 3]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[3, 4, 5, 1, 4, 3, 4, 4, 3, 4]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 5, 1, 4, 3, 4, 4, 3, 4, 1]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[5, 1, 4, 3, 4, 4, 3, 4, 1, 1]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[1, 4, 3, 4, 4, 3, 4, 1, 1, 1]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 3, 4, 4, 3, 4, 1, 1, 1, 4]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[3, 4, 4, 3, 4, 1, 1, 1, 4, 4]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 4, 3, 4, 1, 1, 1, 4, 4, 1]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 3, 4, 1, 1, 1, 4, 4, 1, 1]",1,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[3, 4, 1, 1, 1, 4, 4, 1, 1, 1]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 1, 4, 4, 1, 1, 1, 4]",4,B-18_10_pass1_701_12,B-18,IDSLabel-norm,IDS
"[4, 5, 3, 5, 3, 4, 1, 4, 1, 1]",1,B-18_10_pass1_701_14,B-18,IDSLabel-norm,IDS
"[3, 3, 5, 2, 5, 1, 4, 4, 4, 4]",4,B-18_10_pass1_701_3,B-18,IDSLabel-norm,ADS
"[3, 5, 2, 5, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_3,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 3, 4, 4, 4, 1, 4, 4]",1,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 3, 4, 4, 4, 1, 4, 4, 1]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 3, 4, 4, 4, 1, 4, 4, 1, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[3, 4, 4, 4, 1, 4, 4, 1, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 1, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 1, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 4, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 1, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 1]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 3]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 4, 3, 4]",1,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 3, 4, 1]",4,B-18_10_pass1_701_5,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 3, 1, 4, 4, 4, 4, 3]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 3, 1, 4, 4, 4, 4, 3, 4]",5,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 3, 1, 4, 4, 4, 4, 3, 4, 5]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[3, 1, 4, 4, 4, 4, 3, 4, 5, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 3, 4, 5, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 3, 4, 5, 4, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 3, 4, 5, 4, 4, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 3, 4, 5, 4, 4, 4, 4, 4]",1,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 3, 4, 5, 4, 4, 4, 4, 4, 1]",1,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[3, 4, 5, 4, 4, 4, 4, 4, 1, 1]",1,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 5, 4, 4, 4, 4, 4, 1, 1, 1]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[5, 4, 4, 4, 4, 4, 1, 1, 1, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 1, 1, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 1, 1, 4, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 1, 4, 4, 4, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 1, 4, 4, 4, 4, 4]",3,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 1, 4, 4, 4, 4, 4, 3]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[1, 1, 1, 4, 4, 4, 4, 4, 3, 4]",4,B-18_10_pass1_702_15,B-18,IDSLabel-norm,IDS
"[4, 5, 4, 4, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_702_17,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 1]",3,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 4, 1, 3]",5,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 1, 3, 5]",4,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 1, 3, 5, 4]",4,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 1, 3, 5, 4, 4]",4,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 3, 5, 4, 4, 4]",1,B-18_10_pass1_702_20,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 3, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 3, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 3, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[1, 1, 3, 4, 4, 4, 4, 4, 4, 4]",1,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[1, 3, 4, 4, 4, 4, 4, 4, 4, 1]",1,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[3, 4, 4, 4, 4, 4, 4, 4, 1, 1]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 1, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 1, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 1, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 1, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[1, 1, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_10,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 4, 4, 4, 4, 1, 1]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 4, 4, 4, 4, 1, 1, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[1, 1, 4, 4, 4, 4, 1, 1, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 1, 1, 4, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 1, 4, 4, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[1, 1, 4, 4, 4, 4, 4, 4, 4, 4]",3,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 3]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 3, 4]",1,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 3, 4, 1]",4,B-18_10_pass1_706_13,B-18,IDSLabel-norm,IDS
"[4, 4, 3, 4, 4, 5, 4, 4, 1, 4]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[4, 3, 4, 4, 5, 4, 4, 1, 4, 4]",1,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[3, 4, 4, 5, 4, 4, 1, 4, 4, 1]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[4, 4, 5, 4, 4, 1, 4, 4, 1, 4]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[4, 5, 4, 4, 1, 4, 4, 1, 4, 4]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[5, 4, 4, 1, 4, 4, 1, 4, 4, 4]",1,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 1, 4, 4, 4, 1]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 4, 1, 4, 4, 4, 1, 4]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 1, 4, 4, 4, 1, 4, 4]",4,B-18_10_pass1_706_20,B-18,IDSLabel-norm,ADS
"[1, 1, 1, 4, 1, 4, 4, 4, 4, 1]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 1, 4, 1, 4, 4, 4, 4, 1, 4]",3,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 4, 1, 4, 4, 4, 4, 1, 4, 3]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 4, 1, 4, 3, 1]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 1, 4, 3, 1, 1]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 3, 1, 1, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 3, 1, 1, 4, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 1, 4, 3, 1, 1, 4, 4, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 3, 1, 1, 4, 4, 4, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 4, 3, 1, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 3, 1, 1, 4, 4, 4, 4, 4, 4]",3,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[3, 1, 1, 4, 4, 4, 4, 4, 4, 3]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 1, 4, 4, 4, 4, 4, 4, 3, 4]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 4, 4, 3, 4, 1]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 3, 4, 1, 4]",4,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 3, 4, 1, 4, 4]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 3, 4, 1, 4, 4, 1]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 3, 4, 1, 4, 4, 1, 1]",1,B-18_10_pass1_706_26,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 3, 4, 1, 4, 1, 1, 4]",3,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[4, 4, 3, 4, 1, 4, 1, 1, 4, 3]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[4, 3, 4, 1, 4, 1, 1, 4, 3, 4]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[3, 4, 1, 4, 1, 1, 4, 3, 4, 4]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 1, 1, 4, 3, 4, 4, 4]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[1, 4, 1, 1, 4, 3, 4, 4, 4, 4]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[4, 1, 1, 4, 3, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[1, 1, 4, 3, 4, 4, 4, 4, 4, 4]",1,B-18_10_pass1_706_38,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 1, 1, 4, 3, 1, 4, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 4, 3, 1, 4, 4, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 1, 1, 4, 3, 1, 4, 4, 4, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[1, 1, 4, 3, 1, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[1, 4, 3, 1, 4, 4, 4, 4, 4, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 3, 1, 4, 4, 4, 4, 4, 4, 4]",1,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[3, 1, 4, 4, 4, 4, 4, 4, 4, 1]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 3]",5,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 4, 3, 5]",1,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 3, 5, 1]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 3, 5, 1, 4]",1,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 3, 5, 1, 4, 1]",1,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 3, 5, 1, 4, 1, 1]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 3, 5, 1, 4, 1, 1, 4]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[1, 4, 3, 5, 1, 4, 1, 1, 4, 4]",1,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[4, 3, 5, 1, 4, 1, 1, 4, 4, 1]",4,B-18_10_pass1_706_45,B-18,IDSLabel-norm,IDS
"[3, 4, 4, 4, 4, 1, 4, 4, 4, 3]",1,B-18_10_pass1_706_51,B-18,IDSLabel-norm,IDS
"[4, 5, 1, 4, 2, 5, 4, 4, 4, 4]",5,B-18_10_pass1_706_58,B-18,IDSLabel-norm,IDS
"[5, 1, 4, 2, 5, 4, 4, 4, 4, 5]",3,B-18_10_pass1_706_58,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 1, 3, 4, 1, 4, 4, 4]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 1, 1, 3, 4, 1, 4, 4, 4, 4]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[1, 1, 3, 4, 1, 4, 4, 4, 4, 4]",1,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[1, 3, 4, 1, 4, 4, 4, 4, 4, 1]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[3, 4, 1, 4, 4, 4, 4, 4, 1, 4]",3,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 4, 4, 1, 4, 3]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 4, 1, 4, 3, 4]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 1, 4, 3, 4, 4]",1,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 3, 4, 4, 1]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 3, 4, 4, 1, 4]",3,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 4, 1, 4, 3, 4, 4, 1, 4, 3]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 1, 4, 3, 4, 4, 1, 4, 3, 4]",1,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[1, 4, 3, 4, 4, 1, 4, 3, 4, 1]",4,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 3, 4, 4, 1, 4, 3, 4, 1, 4]",3,B-18_10_pass1_706_8,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 3]",1,B-18_10_pass1_707_1,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 4, 3, 1]",4,B-18_10_pass1_707_1,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 4, 3, 1, 4]",1,B-18_10_pass1_707_1,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 3, 1, 4, 1]",3,B-18_10_pass1_707_1,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 3, 1, 4, 1, 3]",4,B-18_10_pass1_707_1,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 3, 4, 1, 3, 1, 4]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[4, 4, 1, 3, 4, 1, 3, 1, 4, 4]",1,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[4, 1, 3, 4, 1, 3, 1, 4, 4, 1]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[1, 3, 4, 1, 3, 1, 4, 4, 1, 4]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[3, 4, 1, 3, 1, 4, 4, 1, 4, 4]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[4, 1, 3, 1, 4, 4, 1, 4, 4, 4]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[1, 3, 1, 4, 4, 1, 4, 4, 4, 4]",1,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[3, 1, 4, 4, 1, 4, 4, 4, 4, 1]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[1, 4, 4, 1, 4, 4, 4, 4, 1, 4]",4,B-18_10_pass1_707_5,B-18,IDSLabel-norm,ADS
"[4, 4, 4, 1, 3, 4, 1, 4, 1, 4]",4,B-18_10_pass1_707_7,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 3, 4, 1, 4, 1, 4, 4]",4,B-18_10_pass1_707_7,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 1, 4, 4]",1,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 1, 4, 4, 1]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 1, 4, 4, 1, 4]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 1, 4, 4, 1, 4, 4]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 1, 4, 4, 1, 4, 4, 4]",1,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[1, 4, 1, 4, 4, 1, 4, 4, 4, 1]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 4, 1, 4, 4, 4, 1, 4]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 1, 4, 4, 4, 1, 4, 4]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 1, 4, 4, 4]",4,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 1, 4, 4, 4, 4]",1,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[1, 4, 4, 4, 1, 4, 4, 4, 4, 1]",1,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 4, 1, 1]",1,B-18_10_pass1_707_9,B-18,IDSLabel-norm,IDS
